City,Region,Year,Population,Avg_Income_USD,Num_Furniture_Stores,Market_Size_USD_Millions,CAGR_Percent,Wood_Share,Plastic_Share,Metal_Share,Wicker_Share,Fabric_Share,Online_Share,Offline_Share,Residential_Share,Commercial_Share,IKEA_Revenue_USD_M,Godrej_Revenue_USD_M,Pepperfry_Revenue_USD_M,UrbanLadder_Revenue_USD_M,Nilkamal_Revenue_USD_M,Lamps_Lighting_Revenue_USD_M,Kitchen_Dining_Revenue_USD_M,Home_Decor_Revenue_USD_M,Living_Room_Revenue_USD_M,Bedroom_Revenue_USD_M,Outdoor_Revenue_USD_M,Home_Office_Revenue_USD_M,Kids_Furniture_Revenue_USD_M,Latitude,Longitude,Sofas_Sold,DiningTables_Sold,HouseholdItems_Sold,DecorItems_Sold,HomeOffice_Sold,KidsFurniture_Sold,OutdoorFurniture_Sold,KitchenFurniture_Sold
Delhi,North India,2018,12559711,1406.08,544,118.58,8.03,71.12,11.17,7.45,4.27,5.99,19.98,80.02,58.31,41.69,21.55,22,6.76,14.09,7.38,7.59,15.02,17.63,23.17,25.17,13.59,8.42,7.98,28.7041,77.1025,677,420,1863,965,109,153,697,178
Delhi,North India,2019,1857292,3466.37,790,129.74,6.17,68.19,6.93,5.41,2.22,17.25,25.7,74.3,59.72,40.28,21.97,25.09,18.8,9.49,6.62,15.17,19.04,17.97,27.69,22.48,11.13,7.84,8.41,28.7041,77.1025,880,272,912,1164,415,144,580,990
Delhi,North India,2020,2333117,2561.74,250,117.04,11.11,68.57,9.09,8.27,4.23,9.84,25.52,74.48,63.61,36.39,30.7,12.74,13.71,13.06,6.93,10.68,9.99,13.81,28.84,25.14,13.17,11.72,3.7,28.7041,77.1025,834,805,2255,434,372,529,654,461
Delhi,North India,2021,20218459,2903.73,382,84.55,10.86,68.14,11.76,8.08,2.64,9.38,24.62,75.38,61.58,38.42,11.59,15.19,9.41,4.24,3.41,6.7,11.25,15.43,16.04,15.13,7.55,6.17,6.28,28.7041,77.1025,1616,408,1019,1195,405,290,155,872
Delhi,North India,2022,8532652,2024.67,680,48.29,10.47,79.81,10.76,7.36,4.17,-2.1,29.17,70.83,63.56,36.44,8.37,7.32,2.87,4.34,5.54,4.46,5.33,5.58,12.6,10.92,4.08,3.03,2.29,28.7041,77.1025,1332,1097,1867,1282,309,62,395,584
Delhi,North India,2023,15944119,3228.46,82,136.82,9.79,67.41,11.93,9.15,2.55,8.96,25.74,74.26,70.16,29.84,31.44,19.07,18.28,11.04,9.51,11.59,19.52,16.67,28.53,27.92,13.32,8.57,10.69,28.7041,77.1025,1594,196,2934,1387,563,196,452,999
Mumbai,West India,2018,14666502,2604.26,311,84.05,8.22,73.49,10.25,9.12,2.43,4.71,20.64,79.36,69.21,30.79,12.33,7.5,8.39,7.91,8.43,9.16,11.03,16.05,17.76,12.99,7.89,5.68,3.48,19.076,72.8777,1710,1012,2822,1025,515,144,160,461
Mumbai,West India,2019,6305152,2973.7,373,138.17,7.5,68.27,9.8,8,4.01,9.92,32.72,67.28,69.17,30.83,33.85,24.06,15.14,7.66,4.54,12.11,15.42,17.62,28.07,30.87,15.4,12.63,6.05,19.076,72.8777,392,674,2900,415,315,342,150,729
Mumbai,West India,2020,10099781,3014.5,308,78.87,6.91,69.23,9.26,8.7,3.22,9.59,19.98,80.02,73.53,26.47,11.11,11.49,13.01,6.38,5.71,6.12,11.38,12.71,18.39,16.73,5.27,4.06,4.2,19.076,72.8777,828,1037,1602,1406,179,74,150,181
Mumbai,West India,2021,21984933,3115.9,306,54.9,6.49,69.38,14.37,8.98,4.71,2.56,30.18,69.82,59.14,40.86,14.37,9.89,3.41,2.27,6.03,4.8,7.74,8.41,13.45,8.39,4.59,3.52,4,19.076,72.8777,1477,357,1097,856,579,321,125,895
Mumbai,West India,2022,2642589,2322.23,101,76,7.73,64.56,12.34,6.79,1.14,15.17,18.26,81.74,70.37,29.63,15.52,13.11,5.34,7.73,3.96,4.46,8.23,13.77,14.2,13.83,9.54,5.69,6.28,19.076,72.8777,704,896,2159,1134,646,554,126,744
Mumbai,West India,2023,16003841,1772.13,158,149.39,5.53,63.12,6.69,9.01,4.97,16.21,20.59,79.41,72.44,27.56,33.99,19.57,18.5,7.15,6.45,8.79,16.86,24.17,35.3,25.04,16.65,11.19,11.38,19.076,72.8777,1139,298,2185,1313,117,215,670,548
Bangalore,South India,2018,20812062,2925.16,501,21.35,11.87,75.45,10.24,9.02,1.53,3.76,26.7,73.3,68.17,31.83,7.05,3.78,1.88,0.64,1.47,1.9,2.35,3.12,5.82,3.56,1.4,2.01,1.19,12.9716,77.5946,1472,587,2660,510,264,136,501,777
Bangalore,South India,2019,12648724,1682.66,621,64.31,11.1,73.24,11.74,6.15,3.24,5.63,20.85,79.15,68.22,31.78,12.15,12.35,6.95,7.04,3.44,6.17,8.72,10.76,14.07,9.14,5.84,4.9,4.71,12.9716,77.5946,1188,304,2688,756,624,540,228,847
